category,name,description
Smartphone,"Smartphone X","Flagship smartphone with 128GB storage"
Smartphone,"Smartphone Y","Mid-range smartphone with 64GB storage"
Laptop,"Ultrabook Pro","Lightweight laptop with 16GB RAM"
Laptop,"Gaming Laptop Z","High-performance gaming laptop with RTX 3070"
Monitor,"27-inch 4K Monitor","Ultra HD monitor with HDR support"
Monitor,"32-inch Curved Monitor","Curved gaming monitor with 144Hz refresh rate"
Smartwatch,"Smartwatch Alpha","Fitness tracker with heart rate monitoring"
Smartwatch,"Smartwatch Beta","Premium smartwatch with LTE connectivity"
Tablet,"Tablet Pro","10-inch tablet with 256GB storage"
Tablet,"Tablet Lite","8-inch budget tablet with 64GB storage"
Headphones,"Noise-Cancelling Headphones","Over-ear headphones with 30-hour battery life"
Headphones,"Wireless Earbuds","True wireless earbuds with charging case"
Printer,"Laser Printer","High-speed monochrome laser printer"
Printer,"Inkjet Printer","Color inkjet printer with scanner and copier"
"Hard Drive","1TB External Hard Drive","Portable hard drive with USB 3.0"
"Hard Drive","500GB SSD","High-speed solid-state drive for laptops and desktops"
